id	handle	title	category	descr	bucket
prod_01KTVK852Z37PDE4EVV48NTHW4	tpl-icl-190-er	Ice Cream Love bites earrings	Earrings	has	X
prod_01KTVK852YN5FSBAEQP12F2P3W	tpl-idr-192-er	Idiot repelent earrings	Earrings	has	X
prod_01KTVK8620AWS38SP2ACB304SA	tpl-idr-192	Idiot repelent earrings	Earrings	has	X
prod_01KTVK852Z0FX0H9R3C9NRBFNK	tpl-inl-194-er	Insta like earrings	Earrings	has	X
prod_01KTVK862058N7RJ5E7M8WGH6N	tpl-inl-194	Insta like earrings	Earrings	has	X
prod_01KTVK852Z8W3GNQD656ZF5MVB	tpl-lpm-207-er	Less Panic More Disco earrings	Earrings	has	X
prod_01KTVK8620VWGW5XJ6546K8CDK	tpl-lpm-207	Less Panic More Disco earrings	Earrings	has	X
prod_01KTVK86205BRRKEQJB2NGEYY5	tpl-mac-217	Macaron earrings	Earrings	has	X
prod_01KTVK852ZCXJTP7JKES8Q6GBH	tpl-mac-217-er	Macaron earrings	Earrings	has	X
prod_01KTVK8620QV7R4E2NH991TYEW	tpl-mop-232	Moka pot earrings	Earrings	has	X
prod_01KTVK852Z92NF72T4TDFW2ZX0	tpl-mop-232-er	Moka pot earrings	Earrings	has	X
prod_01KTVK8620W7XEFRZCR0JBX0AR	tpl-no-268	No earrings	Earrings	has	X
prod_01KTVK852ZKARRWGVXHH02EVD6	tpl-no-268-er	No earrings	Earrings	has	X
prod_01KTVK8620GV7ZSRPPEWHAP6J3	tpl-noi-269	Noice earrings	Earrings	has	X
prod_01KTVK852ZY1TS3KMKC6QHDFXV	tpl-piz-286-er	Pizza earrings	Earrings	has	X
prod_01KTVK852ZDVD0BMFP3BG7WF2H	tpl-pbt-301-er	Premium boy tears earrings	Earrings	has	X
prod_01KTVK8620130YFWMD77KK4SNG	tpl-pbt-301	Premium boy tears earrings	Earrings	has	X
prod_01KTVK8621YMGQF891VZFMM9YE	tpl-rai-313	rainbow earrings	Earrings	has	X
prod_01KTVK852ZPVPXZM1KFQZ548WQ	tpl-rai-313-er	rainbow earrings	Earrings	has	X
prod_01KTVK8621W9ZE1PTCYA3N1K0S	tpl-ros-327	Rolling stones earrings	Earrings	has	X
prod_01KTVK852ZESZV20MP06MCS7WZ	tpl-ros-327-er	Rolling stones earrings	Earrings	has	X
prod_01KTVK852Z9AW139HWQ3XHMVX4	tpl-sui-367-er	Suck it earrings	Earrings	has	X
prod_01KTVK8621NZMJCKE06A1054K0	tpl-sus-372	Sushi earrings	Earrings	has	X
prod_01KTVK852ZZPFQFR7JAZRH5F92	tpl-sus-372-er	Sushi earrings	Earrings	has	X
prod_01KTVK86218QGR98AVTDWB71E7	tpl-tmo-377	Take me out earrings	Earrings	has	X
prod_01KTVK852ZZXD3QK4ZX96DR1A2	tpl-tmo-377-er	Take me out earrings	Earrings	has	X
prod_01KTVK86212392NEKEMB2QJV6S	tpl-uni-388	Unicorn earrings	Earrings	has	X
prod_01KTVK852Y6HBPZA5DC4R8HBS2	tpl-uni-388-er	Unicorn earrings	Earrings	has	X
prod_01KTVK86214FDVZK2PCPGHC6XS	tpl-via-389	Vacation in a bottle earrings	Earrings	has	X
prod_01KTVK852ZKV48CSQSWG867WTE	tpl-via-389-er	Vacation in a bottle earrings	Earrings	has	X
prod_01KTVK852ZQ8T0K8TD0S0652Q4	tpl-wia-404-er	World in a bottle earrings	Earrings	has	X
prod_01KTVK869S5GF01VB7DC7C5YC8	tpl-wia-404	World in a bottle earrings	Earrings	has	X
prod_01KTVK8530GYVN9JZG8N19XS4S	tpl-aco-3-fm	A cup of coffee Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYYHD59V0N1483A28K	tpl-aco-3	A cup of coffee Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZVFH47V2N5W64KS2M	tpl-awn-23-fm	All we need is love Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530RBYXFMVSEF99205E	tpl-alh-24-fm	Always hungry Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYHWKHKA408459BRTT	tpl-alh-24	Always hungry Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RXJ5TSF2EC2NRSWTZ0	tpl-asc-25-fm	Always sleepy cat club Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RYTP5YNNETA6AGM87J	tpl-asc-25	Always sleepy cat club Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RY7V0FCANRX8F4V21S	tpl-alt-26	Always tired Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZSKYS0D047TSKEDED	tpl-alt-26-fm	Always tired Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYF676GAQ9MDQ1730T	tpl-ars-28	Arsenal Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z3HTFP0E19ZD1Q6YZ	tpl-ars-28-fm	Arsenal Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RY448JE814G7HZ0JK8	tpl-bam-34	Bayern Munich Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z5579GEFEXGK9FSTS	tpl-bam-34-fm	Bayern Munich Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85307FSCNCPYAP6WY7C2	tpl-bep-38-fm	Beer Pressure Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYSREFEJ1T2XA1N58A	tpl-bep-38	Beer Pressure Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYTXRGTTZ8RBWAEWST	tpl-bib-39-fm	Bibliophile Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYEXNDZBR2DDCRQF9C	tpl-bob-43-fm	Boss Babe Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZE4EGH0XJZ96HCPZG	tpl-bot-45-fm	Boy tears Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RYF2T0JRRDTVCE8KDC	tpl-bot-45	Boy tears Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYR58ZK79W1V8MZWNW	tpl-bur-57-fm	Bullshit remover Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RY75A0W3SJZ1WMF2V5	tpl-bun-58	Bunny Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYB995R99PVB6TW6GQ	tpl-bur-59-fm	Burger Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYX0D8MGATKQT9Q9E0	tpl-cal-60-fm	Camping lighter Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RY457M184H2YWPV8EV	tpl-cal-60	Camping lighter Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85309DJ6V1TR17Z1YZJV	tpl-cfb-66-fm	cat fish bowl Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RY9C8J4NE82A282XC0	tpl-cfb-66	cat fish bowl Fridge magnet	Fridge Magnets	has	X
